task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	a2/75a985	33306732	fastcat (11)	COMPLETED	0	2024-04-16 14:24:30.351	1m 41s	10.9s	60.7%	11.5 MB	25.2 MB	322.1 MB	222.2 MB
19	72/fdb7b0	33306735	fastcat (15)	COMPLETED	0	2024-04-16 14:24:30.795	1m 40s	11.4s	46.9%	11.7 MB	758.3 MB	250.1 MB	187.4 MB
34	b3/fcef4f	33306752	fastcat (30)	COMPLETED	0	2024-04-16 14:24:32.524	1m 38s	14s	69.4%	11.8 MB	25.2 MB	427.2 MB	310 MB
21	cb/d14260	33306739	fastcat (17)	COMPLETED	0	2024-04-16 14:24:31.343	1m 50s	21.3s	30.0%	11.8 MB	1.4 GB	298.1 MB	227.8 MB
36	21/a188cf	33306753	fastcat (32)	COMPLETED	0	2024-04-16 14:24:33.653	1m 47s	20.8s	66.7%	11.9 MB	25.2 MB	746 MB	594.9 MB
8	16/f9be11	33306725	fastcat (4)	COMPLETED	0	2024-04-16 14:24:29.418	1m 56s	26.8s	72.9%	11.5 MB	66.2 MB	920.2 MB	770.3 MB
18	b1/a5eeff	33306736	fastcat (14)	COMPLETED	0	2024-04-16 14:24:30.945	1m 55s	24.9s	49.6%	11.6 MB	25.2 MB	525.8 MB	441.2 MB
29	4a/3fee6a	33306745	fastcat (25)	COMPLETED	0	2024-04-16 14:24:31.883	1m 54s	24.7s	61.3%	11.7 MB	25.2 MB	764.9 MB	508.6 MB
25	95/240ff6	33306742	fastcat (21)	COMPLETED	0	2024-04-16 14:24:31.579	1m 59s	32s	79.5%	11.6 MB	66.1 MB	1.1 GB	916.7 MB
39	3f/485804	33306756	fastcat (35)	COMPLETED	0	2024-04-16 14:24:37.001	1m 54s	29.7s	71.9%	11.8 MB	25.4 MB	1 GB	878.6 MB
41	be/91ee1b	33306758	fastcat (37)	COMPLETED	0	2024-04-16 14:24:38.180	1m 53s	32.6s	64.8%	11.6 MB	25.5 MB	1 GB	735.3 MB
9	bc/3ac246	33306726	fastcat (5)	COMPLETED	0	2024-04-16 14:24:29.558	2m 6s	34.8s	29.3%	11.3 MB	49.4 MB	489.8 MB	402.9 MB
27	80/8d44ac	33306744	fastcat (23)	COMPLETED	0	2024-04-16 14:24:31.797	2m 4s	37.8s	77.8%	12.1 MB	25.4 MB	1.3 GB	1 GB
5	bb/897871	33306722	fastcat (1)	COMPLETED	0	2024-04-16 14:24:28.994	2m 12s	43.4s	79.5%	11.8 MB	757.8 MB	1.3 GB	1 GB
42	7d/51fb25	33306759	fastcat (38)	COMPLETED	0	2024-04-16 14:24:39.266	2m 2s	42.8s	79.4%	11.7 MB	25.4 MB	1.5 GB	1.2 GB
43	94/588b24	33306760	fastcat (39)	COMPLETED	0	2024-04-16 14:24:40.387	2m 1s	43.9s	82.3%	11.9 MB	25.2 MB	1.6 GB	1.3 GB
30	ed/f1bbcc	33306748	fastcat (26)	COMPLETED	0	2024-04-16 14:24:32.147	2m 19s	53.7s	80.3%	11.8 MB	25.2 MB	2 GB	1.6 GB
23	73/48ce05	33306740	fastcat (19)	COMPLETED	0	2024-04-16 14:24:31.425	2m 44s	1m 15s	79.5%	11.7 MB	25.5 MB	2.6 GB	2.1 GB
17	b6/b2238d	33306734	fastcat (13)	COMPLETED	0	2024-04-16 14:24:30.649	2m 50s	1m 23s	35.6%	12 MB	1.4 GB	1.2 GB	1000.7 MB
33	d5/96372e	33306750	fastcat (29)	COMPLETED	0	2024-04-16 14:24:32.308	2m 54s	1m 29s	74.9%	11.9 MB	25.2 MB	2.9 GB	2.3 GB
24	97/bc671c	33306741	fastcat (20)	COMPLETED	0	2024-04-16 14:24:31.505	3m 4s	1m 36s	70.0%	12.1 MB	25.6 MB	2.9 GB	2.3 GB
32	00/3153a0	33306749	fastcat (28)	COMPLETED	0	2024-04-16 14:24:32.239	3m 4s	1m 35s	77.2%	11.7 MB	25.4 MB	3.3 GB	2.5 GB
7	b0/cb5f2c	33306724	fastcat (3)	COMPLETED	0	2024-04-16 14:24:29.285	3m 12s	1m 40s	74.8%	11.6 MB	25.3 MB	3.3 GB	2.5 GB
14	e3/f720c9	33306731	fastcat (10)	COMPLETED	0	2024-04-16 14:24:30.228	3m 31s	2m 1s	81.4%	11.7 MB	25.2 MB	4.3 GB	3.6 GB
48	71/769dfc	33306764	fastcat (44)	COMPLETED	0	2024-04-16 14:24:44.735	3m 16s	2.5s	41.8%	19.5 MB	1.4 GB	46.1 MB	33.8 MB
47	af/e5dd1b	33306765	fastcat (43)	COMPLETED	0	2024-04-16 14:24:45.815	3m 15s	2.6s	35.4%	15 MB	1.4 GB	38.4 MB	28.1 MB
51	d0/7eda02	33306768	fastcat (47)	COMPLETED	0	2024-04-16 14:24:48.048	3m 13s	2.9s	45.8%	10.1 MB	66.2 MB	64.5 MB	52.2 MB
54	98/22d38e	33306771	fastcat (50)	COMPLETED	0	2024-04-16 14:24:51.363	3m 10s	2.7s	19.9%	17.9 MB	1.4 GB	13.4 MB	10.4 MB
57	de/9d2d7d	33306773	fastcat (53)	COMPLETED	0	2024-04-16 14:24:53.536	3m 7s	2.9s	20.0%	11.8 MB	1.4 GB	16.9 MB	12.8 MB
58	72/592cd0	33306775	fastcat (54)	COMPLETED	0	2024-04-16 14:24:55.699	3m 5s	3.1s	34.9%	11.6 MB	66.2 MB	43.3 MB	32.1 MB
68	29/f2cb4a	33306785	fastcat (64)	COMPLETED	0	2024-04-16 14:25:05.577	2m 55s	2s	39.7%	8.2 MB	66.1 MB	29.1 MB	21.5 MB
77	db/3c971a	33306794	fastcat (73)	COMPLETED	0	2024-04-16 14:25:14.403	2m 47s	1.7s	33.9%	10.2 MB	757.8 MB	19.4 MB	14.7 MB
55	e8/b6e0df	33306772	fastcat (51)	COMPLETED	0	2024-04-16 14:24:52.437	3m 13s	5.3s	24.5%	17 MB	1.4 GB	53.3 MB	39.4 MB
73	4d/b8b8ba	33306791	fastcat (69)	COMPLETED	0	2024-04-16 14:25:11.107	2m 55s	5.8s	16.9%	20.5 MB	1.4 GB	38.3 MB	28.1 MB
76	8f/1886f8	33306793	fastcat (72)	COMPLETED	0	2024-04-16 14:25:13.316	2m 53s	7.2s	45.1%	15.2 MB	1.4 GB	132.3 MB	105.3 MB
3	1e/82faec	33306797	kraken_pipeline:run_common:getVersions	COMPLETED	0	2024-04-16 14:25:17.653	2m 48s	7.3s	82.6%	74.6 MB	4.1 GB	12.3 MB	3.1 KB
53	76/cb4f4e	33306769	fastcat (49)	COMPLETED	0	2024-04-16 14:24:49.165	3m 22s	13.5s	64.2%	11.4 MB	25.2 MB	427.6 MB	329.6 MB
52	34/4c2134	33306770	fastcat (48)	COMPLETED	0	2024-04-16 14:24:50.259	3m 21s	12.9s	63.5%	11.5 MB	25.2 MB	388.8 MB	297.6 MB
56	cb/2ccebe	33306774	fastcat (52)	COMPLETED	0	2024-04-16 14:24:54.630	3m 16s	14.1s	55.4%	11.6 MB	25.2 MB	367.4 MB	279.8 MB
60	80/d5aace	33306777	fastcat (56)	COMPLETED	0	2024-04-16 14:24:57.870	3m 13s	9.5s	60.7%	11.9 MB	66.1 MB	271.4 MB	219.8 MB
63	09/302f39	33306780	fastcat (59)	COMPLETED	0	2024-04-16 14:25:00.110	3m 11s	11.2s	63.7%	12 MB	1.4 GB	337.2 MB	255.9 MB
74	e8/d5a889	33306790	fastcat (70)	COMPLETED	0	2024-04-16 14:25:11.027	3m	13.1s	67.2%	11.8 MB	25.2 MB	427.3 MB	355.6 MB
37	39/bda44a	33306754	fastcat (33)	COMPLETED	0	2024-04-16 14:24:34.789	3m 41s	2m 17s	80.1%	11.5 MB	49.4 MB	4.7 GB	4 GB
67	a8/d10443	33306784	fastcat (63)	COMPLETED	0	2024-04-16 14:25:04.476	3m 11s	17.3s	61.7%	11.6 MB	25.2 MB	589.6 MB	480.3 MB
61	f4/d9539b	33306778	fastcat (57)	COMPLETED	0	2024-04-16 14:24:58.950	3m 22s	22s	34.2%	11.4 MB	25.2 MB	390.7 MB	293.6 MB
70	c4/4a421a	33306787	fastcat (66)	COMPLETED	0	2024-04-16 14:25:07.756	3m 13s	24.1s	64.9%	11.9 MB	25.6 MB	702 MB	559 MB
